id,index,period,timestamp,minute,second,possession,duration,related_events,location,under_pressure,off_camera,counterpress,out,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,player.id,player.name,position.id,position.name,pass.length,pass.angle,pass.end_location,pass.aerial_won,pass.switch,pass.through_ball,pass.cross,pass.assisted_shot_id,pass.goal_assist,pass.inswinging,pass.cut_back,pass.shot_assist,pass.straight,pass.no_touch,pass.recipient.id,pass.recipient.name,pass.height.id,pass.height.name,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,pass.outcome.id,pass.outcome.name,pass.technique.id,pass.technique.name,carry.end_location,ball_receipt.outcome.id,ball_receipt.outcome.name,duel.type.id,duel.type.name,duel.outcome.id,duel.outcome.name,foul_won.defensive,foul_won.advantage,interception.outcome.id,interception.outcome.name,dribble.nutmeg,dribble.overrun,dribble.outcome.id,dribble.outcome.name,clearance.right_foot,clearance.head,clearance.aerial_won,clearance.left_foot,clearance.body_part.id,clearance.body_part.name,foul_committed.advantage,foul_committed.type.id,foul_committed.type.name,ball_recovery.recovery_failure,ball_recovery.offensive,goalkeeper.end_location,goalkeeper.type.id,goalkeeper.type.name,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.body_part.id,goalkeeper.body_part.name,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.first_time,shot.freeze_frame,shot.aerial_won,shot.technique.id,shot.technique.name,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.outcome.id,shot.outcome.name,50_50.outcome.id,50_50.outcome.name,miscontrol.aerial_won,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,bad_behaviour.card.id,bad_behaviour.card.name,injury_stoppage.in_chain,block.offensive,match_id,competition_id,season_id,pass.outswinging,pass.deflected,clearance.other,block.deflection,goalkeeper.punched_out,shot.deflected,foul_committed.offensive,foul_committed.card.id,foul_committed.card.name,shot.one_on_one,shot.open_goal,pass.miscommunication,foul_won.penalty,foul_committed.penalty,dribble.no_touch,block.save_block,goalkeeper.success_in_play,player_off.permanent,shot.saved_off_target,goalkeeper.shot_saved_off_target,shot.redirect,goalkeeper.lost_out,shot.follows_dribble,goalkeeper.shot_saved_to_post,shot.saved_to_post,goalkeeper.lost_in_play,goalkeeper.penalty_saved_to_post,half_start.late_video_start,goalkeeper.success_out,location.x,location.y,carry.end_location.x,carry.end_location.y,pass.end_location.x,pass.end_location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z,shot_impact_height,player.name.GK,player.id.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,milliseconds,ElapsedTime,StartOfPossession,TimeInPoss,TimeToPossEnd
987185d7-aff3-41e2-af60-4ba6c764f7cf,111,1,00:01:38.837,1,38,4,0.115268,,,NA,NA,NA,NA,16,Shot,131,Paris Saint-Germain,1,Regular Play,131,Paris Saint-Germain,NA,,3745,Lucas Rodrigues Moura da Silva,21,Left Wing,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07370942,,NA,TRUE,,NA,93,Normal,40,Right Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,46.5,NA,NA,NA,NA,107.1,45.3,NA,NA,Vincent Enyeama,40484,117.3,41.3,17.269916039170543,2.9966648127543407,112.10944834375167,115.70995378081118,3.6005054370595104,28.838480998359717,14.28040615668896,0.8164036283745586,0.44607240643337165,3.255764119219943,3.5846896657869807,2,4,2,2,77.91000000000017,3.255764119219943,3.5846896657869807,837,98.837,44.47,54.367000000000004,10.920999999999992
6ee660c2-6e67-4dc6-bfec-aeba5c5e535f,404,1,00:08:21.710,8,21,17,0.169034,,,NA,NA,NA,NA,16,Shot,143,Lille,1,Regular Play,143,Lille,NA,,9102,Serhou Guirassy,24,Left Center Forward,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07739763,,abd3de46-8489-4459-b48f-d79ed2102de7,TRUE,,NA,93,Normal,40,Right Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.8,47.6,NA,NA,NA,NA,109.4,45.8,NA,NA,Kevin Trapp,4440,116.5,43.9,16.105899540230595,5.240229002629559,118.15619144827258,138.09405805891708,19.937866610644505,23.811318193379034,11.321660655575227,0.6349783068617966,0.3334845291004536,4.695742752749561,8.296987405076617,2,5,2,1,53.57999999999996,2.5019992006393608,4.695742752749561,710,501.71,472.074,29.635999999999967,9.172000000000025
3d59c346-3562-4d7d-8413-678145bd80ba,408,1,00:08:23.861,8,23,17,0.348964,,,NA,NA,NA,NA,16,Shot,143,Lille,1,Regular Play,143,Lille,NA,,3211,Florent Balmont,9,Right Defensive Midfield,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017887985,,NA,TRUE,,NA,91,Half Volley,40,Right Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,39.5,NA,NA,NA,NA,100.4,39.6,NA,NA,Kevin Trapp,4440,117.9,40.3,28.104448046528145,2.1213203435596366,88.98060971854514,98.13010235415592,9.149492635610784,24.359499016922562,26.012304780622575,0.4862888996138156,0.2115964374280956,9.102197536858883,13.78985134075056,4,8,3,2,58.909999999999975,9.102197536858883,13.78985134075056,861,503.861,472.074,31.786999999999978,7.021000000000015
7f24a24b-09aa-4d00-96eb-392735457e67,674,1,00:14:24.624,14,24,28,0.609845,,,TRUE,NA,NA,NA,16,Shot,131,Paris Saint-Germain,2,From Corner,131,Paris Saint-Germain,NA,,3026,Adrien Rabiot,10,Center Defensive Midfield,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04916204,,5bd17525-0099-4ba6-ba21-7557ba9ede62,NA,,TRUE,93,Normal,37,Head,87,Open Play,98,Off T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.5,47.7,NA,NA,NA,NA,120,43.1,5.2,NA,Vincent Enyeama,40484,118.8,42.5,11.469088891450795,2.7730849247724105,132.17287542183874,154.35899417569465,22.186118753855908,15.84810057188596,8.96270048590267,0.7374415156347204,0.3874921291460641,2.580697580112789,4.810405388322275,1,4,1,1,233.4300000000003,0.5656854249492461,2.580697580112789,624,864.624,853.061,11.562999999999988,0.6100000000000136
179d4a93-e8a2-481c-95bc-0e825835568f,815,1,00:16:36.814,16,36,32,0.130087,,,NA,NA,NA,NA,16,Shot,131,Paris Saint-Germain,1,Regular Play,131,Paris Saint-Germain,NA,,4370,Javier Matías Pastore,17,Right Wing,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06364755,,25b6e38c-8c32-4e8a-805f-b6b540688eed,NA,,NA,93,Normal,40,Right Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.2,26.4,NA,NA,NA,NA,112.3,28.1,NA,NA,Vincent Enyeama,40484,118.3,37,16.198765385053267,3.4481879299133347,32.90524292298789,29.53878225955814,3.3664606634297485,15.565319156654068,12.758134659894445,1.1664252436107414,0,2.2360679774997907,3.1064449134018104,4,6,0,1,28.82000000000004,2.2360679774997907,2.280350850198279,814,996.814,945.218,51.596000000000004,0.5470000000000255
085719e3-7796-41f8-8f86-0446ec7a5352,1484,1,00:41:05.982,41,5,70,0.320015,,,NA,NA,NA,NA,16,Shot,143,Lille,3,From Free Kick,143,Lille,NA,,40486,Éric Bauthéac,16,Left Midfield,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04876544,,NA,NA,,NA,93,Normal,38,Left Foot,62,Free Kick,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7,50.7,NA,NA,NA,NA,104.3,48.4,NA,NA,Kevin Trapp,4440,118.8,39.2,27.469619582367717,1.4422205101855965,112.92471220042724,56.30993247402037,56.614779726406866,30.847543571297685,26.703183330831546,0.7629952964376513,0.392942784526506,9.677293009927926,9.885848471426211,3,9,4,1,15.130000000000035,9.677293009927926,9.885848471426211,982,2465.982,2465.982,0,32.66300000000001
026eb6f9-1dde-4c3f-ab9f-1a18858ba509,1547,1,00:43:05.934,43,5,73,1.179536,,,NA,NA,NA,NA,16,Shot,143,Lille,3,From Free Kick,143,Lille,NA,,3625,Sofiane Boufal,22,Right Center Forward,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013635149,,NA,NA,,NA,93,Normal,40,Right Foot,62,Free Kick,100,Saved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,29.3,NA,NA,NA,NA,117.9,38.5,1.7,NA,Kevin Trapp,4440,118.5,39.2,34.40610410959079,1.6999999999999986,71.88101734636638,61.927513064147135,9.953504282219242,27.089542512768517,32.733010860597595,0.586770309400154,0.21630580981203035,10.696261028976439,10.735455276791953,6,9,3,1,39.099999999999945,10.696261028976439,10.735455276791953,934,2585.934,2585.934,0,1.1799999999998363
1be08ff0-a84e-4b55-9f4b-6206cda0e908,1960,2,00:07:31.513,52,31,92,0.062782,,,NA,NA,NA,NA,16,Shot,143,Lille,1,Regular Play,143,Lille,NA,,3625,Sofiane Boufal,22,Right Center Forward,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06377823,,NA,NA,,NA,93,Normal,40,Right Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.2,45.2,NA,NA,NA,NA,102.1,45,NA,NA,Kevin Trapp,4440,115.8,41.9,20.471443525066814,4.609772228646446,104.7150716505978,114.3410899366925,9.626018286094691,30.43065396856219,15.94521871910197,1.3907288486391802,0.1662056238286335,1.9235384061671255,2.220360331117452,5,6,1,3,138.05999999999992,1.9235384061671255,2.220360331117452,513,3213.85,3160.565,53.284999999999854,8.393000000000029
ed1b2443-d998-4ba9-92f7-68c272792381,2146,2,00:11:40.237,56,40,100,0.592791,,,NA,NA,NA,NA,16,Shot,131,Paris Saint-Germain,3,From Free Kick,131,Paris Saint-Germain,NA,,3745,Lucas Rodrigues Moura da Silva,17,Right Wing,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9640861,,2cb40048-582d-4914-bddf-05077abff235,NA,,NA,93,Normal,40,Right Foot,87,Open Play,97,Goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.2,49.4,NA,NA,NA,NA,120,42.1,0.2,NA,Vincent Enyeama,40484,103.8,46.1,14.31782106327635,17.310401497365685,131.03534527714388,110.63352425215825,20.401821024985622,21.990415098330523,6.328506932918699,0,0,-6.328506932918699,-9.118113840043893,0,0,0,0,187.99999999999997,9.118113840043893,13.290974381135495,237,3462.574,3428.967,33.60699999999997,0.5929999999998472
15cc2234-9d1e-4c77-81ee-c1ac3da2ac97,2256,2,00:14:49.340,59,49,105,0.055318,,,NA,NA,NA,NA,16,Shot,143,Lille,3,From Free Kick,143,Lille,NA,,9102,Serhou Guirassy,24,Left Center Forward,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20409282,,NA,TRUE,,NA,91,Half Volley,40,Right Foot,87,Open Play,100,Saved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9,47.5,NA,NA,NA,NA,116.1,46.2,0.9,NA,Kevin Trapp,4440,116.6,45.9,9.06972987469858,6.809552114493289,145.78429786756263,150.04639183219848,4.262093964635852,31.98200588046212,2.334523505985743,0,0,-2.002498439450079,-2.9000000000000057,0,0,0,1,109.19999999999976,2.002498439450079,2.9000000000000057,340,3651.677,3642.329,9.347999999999956,3.7959999999998217
bbdedc3b-0ae5-42b2-983b-029904e531cd,2261,2,00:14:52.688,59,52,105,0.40794,,,NA,NA,NA,NA,16,Shot,143,Lille,3,From Free Kick,143,Lille,NA,,3625,Sofiane Boufal,22,Right Center Forward,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07526895,,eed6270e-f4e5-456f-ab44-15676c9d3c79,TRUE,,NA,91,Half Volley,40,Right Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,46.1,NA,NA,NA,NA,112.7,43.2,NA,NA,Kevin Trapp,4440,118,42,16.192899678562824,2.8284271247461903,112.12993673176203,135,22.87006326823797,20.169635172549114,13.631214179228497,0.6534113238159307,0.23524641809475177,8.070935509592431,8.79317917479225,3,7,2,2,106.92000000000013,8.070935509592431,8.79317917479225,688,3655.025,3642.329,12.695999999999913,0.4479999999998654
a0681a98-06f9-485e-a9a3-f7776384e710,2778,2,00:33:23.401,78,23,139,1.074568,,,NA,NA,NA,NA,16,Shot,143,Lille,3,From Free Kick,143,Lille,NA,,6716,Sébastien Corchia,2,Right Back,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025146157,,NA,NA,,NA,93,Normal,40,Right Foot,62,Free Kick,98,Off T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.7,32,NA,NA,NA,NA,120,37,5.7,NA,Kevin Trapp,4440,119,40.2,33.275967303746405,1.0198039027185575,76.08903864912827,101.30993247402036,25.220893824892087,30.416600814025905,32.35629768684915,0.5313334475730181,0.24922793808536942,10.651291001564074,10.66067540074268,7,9,3,1,7.69999999999996,10.651291001564074,10.66067540074268,401,4765.738,4765.738,0,1.074999999999818
34980aa5-3643-4063-a9ad-57cb34e10e8d,2806,2,00:34:29.518,79,29,142,1.462129,,,NA,NA,NA,NA,16,Shot,143,Lille,4,From Throw In,143,Lille,NA,,3211,Florent Balmont,9,Right Defensive Midfield,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00587142,,e7a3bc92-79f1-4ebb-99af-1f30510604b7,NA,,NA,93,Normal,40,Right Foot,87,Open Play,98,Off T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,36.8,NA,NA,NA,NA,120,34.3,1.1,NA,Kevin Trapp,4440,117.8,39.6,39.131061830724704,2.2360679774997925,85.30931554426519,79.695153531234,5.614162013031191,26.728179291525073,36.90636801420589,1.099601137195258,0.05433498852303891,1.7029386365926342,8.348652585896723,6,9,1,1,31.700000000000003,1.7029386365926342,8.348652585896723,518,4831.855,4825.614,6.2409999999999854,1.4620000000004438
f0156bea-7924-4a39-8f5b-9736a46f6bf0,2879,2,00:36:59.301,81,59,149,0.729264,,,NA,NA,NA,NA,16,Shot,143,Lille,3,From Free Kick,143,Lille,NA,,40697,Mounir Obbadi,11,Left Defensive Midfield,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008069175,,NA,NA,,NA,93,Normal,40,Right Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.7,55.9,NA,NA,NA,NA,105.5,44.6,NA,NA,Kevin Trapp,4440,116.5,42,32.460745524402235,4.031128874149275,119.32890854799055,119.7448812969422,0.4159727489516456,24.457808347428642,28.429737951658996,0.6467195260306473,0.3702459659314102,7.249827584156738,10.43934863868431,8,9,4,1,57.49999999999993,7.249827584156738,10.43934863868431,301,4981.638,4977.363,4.274999999999636,12.605999999999767
4c3d651a-21d7-46f8-9627-a8d14d75e304,2883,2,00:37:01.142,82,1,149,0.11814,,,NA,NA,NA,NA,16,Shot,143,Lille,3,From Free Kick,143,Lille,NA,,5476,Benjamin Pavard,5,Left Center Back,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09374721,,NA,TRUE,,NA,91,Half Volley,38,Left Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.2,38.6,NA,NA,NA,NA,107.2,38.6,NA,NA,Kevin Trapp,4440,115.2,40.3,15.861904047118678,4.809365862564417,84.93638314696996,93.57633437499747,8.639951228027513,25.393600812595228,11.130588483993108,1.0796873972867904,0.2921031189184937,2.1260291625469248,3.4234485537247292,2,4,1,1,47.5,2.1260291625469248,3.4234485537247292,142,4983.479,4977.363,6.1159999999999854,10.764999999999418
2c13a06b-6938-4c88-8da4-e978c5095bd1,3083,2,00:44:16.089,89,16,160,0.872784,,,NA,NA,NA,NA,16,Shot,131,Paris Saint-Germain,3,From Free Kick,131,Paris Saint-Germain,NA,,4319,Edinson Roberto Cavani Gómez,23,Center Forward,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07618376,,NA,NA,,NA,93,Normal,40,Right Foot,62,Free Kick,100,Saved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,34.1,NA,NA,NA,NA,118.6,40.9,0.1,NA,Vincent Enyeama,40484,118.8,40.9,24.617473469062585,1.5000000000000016,76.13310317050552,126.86989764584392,50.7367944753384,26.931183234693666,23.69662423215594,0.6531506777386415,0.3341701024836082,7.505997601918082,8.945389874119524,2,6,3,1,0.08999999999999474,7.505997601918082,8.945389874119524,89,5418.426,5418.426,0,0
54e4003c-80e4-4e10-8674-df3ea2e9c334,3269,2,00:47:24.996,92,24,168,0.716125,,,NA,NA,NA,NA,16,Shot,143,Lille,1,Regular Play,143,Lille,NA,,40485,Ryan Isaac Mendes da Graça,12,Right Midfield,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022938458,,NA,NA,,NA,93,Normal,40,Right Foot,87,Open Play,101,Wayward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,57.6,NA,NA,NA,NA,109.6,42.3,NA,NA,Kevin Trapp,4440,117.6,41.8,26.942902590478262,3.000000000000003,130.78582147726596,126.86989764584392,3.9159238314220346,25.523657192661606,23.950782868207046,0.8962041362050261,0,3.3241540277189414,7.271863585079138,5,8,0,1,100.61999999999993,3.3241540277189414,7.271863585079138,996,5607.333,5568.177,39.15599999999995,0.7560000000003129
27507cfd-4593-4a46-84c5-36062e904b54,3296,2,00:48:17.093,93,17,171,0.299342,,,NA,NA,NA,NA,16,Shot,131,Paris Saint-Germain,3,From Free Kick,131,Paris Saint-Germain,NA,,4319,Edinson Roberto Cavani Gómez,23,Center Forward,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18843307,,f25ad77d-5b07-4fb9-9135-0d18e160ba80,TRUE,,NA,93,Normal,40,Right Foot,87,Open Play,96,Blocked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829413,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.9,41.9,NA,NA,NA,NA,111,41.2,NA,NA,Vincent Enyeama,40484,117.6,45.8,15.219066988485194,6.276941930590086,97.17171216538705,157.52056560289682,60.348853437509774,20.511764380552993,13.28533025558641,0.5372985969137437,0.15377337893486978,3.104834939252004,6.503076195155644,1,3,1,1,148.20000000000002,3.104834939252004,6.503076195155644,93,5659.43,5651.216,8.213999999999942,14.078999999999724
